id;tail_number;model_name;icao_type;category;cruise_speed_knots;max_range_nm;service_ceiling_ft;fuel_burn_gph;min_runway_length_ft
1;C-GBSK;Cessna 172 Skyhawk;C172;PISTON_SINGLE;122;640;14000;8.5;1600
2;C-FPA2;Piper PA-28-181 Archer;P28A;PISTON_SINGLE;128;522;14100;10.0;1800
3;C-GDA4;Diamond DA40 NG;DA40;PISTON_SINGLE;154;940;16400;8.0;1550
4;C-FSR2;Cirrus SR22T G6;SR22;PISTON_SINGLE;213;1021;25000;18.0;2080
5;C-GB36;Beechcraft Bonanza G36;BE36;PISTON_SINGLE;176;920;18500;16.5;1910
6;C-FBSN;Cessna 208B Grand Caravan;C208;TURBOPROP;185;1070;25000;55.0;2160
7;C-GPC1;Pilatus PC-12 NGX;PC12;TURBOPROP;290;1803;30000;66.0;2485
8;C-GKA3;Beechcraft King Air 350i;B350;TURBOPROP;310;1800;35000;105.0;3300
9;C-FDH8;De Havilland Dash 8-Q400;DH8D;TURBOPROP;360;1100;27000;260.0;4600
10;C-FATR;ATR 72-600;AT76;TURBOPROP;275;825;25000;190.0;4373
11;C-GCJ4;Cessna Citation CJ4;C25C;REGIONAL_JET;451;2165;45000;180.0;3410
12;C-GCRJ;Bombardier CRJ-900;CRJ9;REGIONAL_JET;470;1550;41000;450.0;5800
13;C-FE19;Embraer E195-E2;E295;REGIONAL_JET;475;2600;41000;550.0;6000
14;C-FA22;Airbus A220-300;BCS3;NARROWBODY_JET;450;3400;41000;650.0;6200
15;C-FBOE;Boeing 737-800;B738;NARROWBODY_JET;450;2930;41000;850.0;6800
16;C-FMAX;Boeing 737 MAX 8;B38M;NARROWBODY_JET;453;3550;41000;740.0;6900
17;C-GAIR;Airbus A320neo;A20N;NARROWBODY_JET;455;3500;39000;780.0;6500
18;C-GA21;Airbus A321XLR;A21N;NARROWBODY_JET;460;4700;40000;890.0;7200
19;C-G789;Boeing 787-9 Dreamliner;B789;WIDEBODY_JET;488;7530;43000;1600.0;8500
20;C-GA35;Airbus A350-900;A359;WIDEBODY_JET;490;8100;43000;1750.0;8600
21;C-GTRP;Boeing 777-300ER;B77W;WIDEBODY_JET;490;7370;43000;2400.0;9800
