id;departure_time;arrival_time;duration_hours;distance_nm;cruise_altitude_ft;fuel_used_gallons;xp_earned;flight_rules;remarks
1;2023-12-18T01:04:29;2023-12-17T16:22:45;24.07;11489;57393;20676.22;20131;VFR;adrenalin describe yuck
2;2023-12-17T20:41:06;2023-12-17T21:57:04;14.71;7742;2528;31736.15;28779;VFR;not apropos instructor
3;2023-12-17T20:47:52;2023-12-17T13:29:42;29.02;7685;37180;26637.52;27705;VFR;oof
4;2023-12-17T21:49:41;2023-12-18T00:49:01;11.8;11486;55516;23816.11;16368;IFR;same
5;2023-12-17T17:46:40;2023-12-17T20:33:24;8.84;9580;49775;27044.74;19269;VFR;indolent
6;2023-12-17T16:25:55;2023-12-17T11:09:34;11.31;14832;8040;7845.56;6594;IFR;zowie
7;2023-12-18T02:55:45;2023-12-17T15:41:24;21.69;189;28204;22399.1;16300;IFR;wherever
8;2023-12-17T19:37:01;2023-12-17T17:39:08;8.59;5825;12402;10044.74;7151;VFR;into angrily
9;2023-12-17T18:12:46;2023-12-17T16:54:58;2.73;6282;20309;1761.34;3533;VFR;consequently that astride
10;2023-12-17T16:27:36;2023-12-17T04:16:17;21.01;9028;57078;18554.07;21292;IFR;barring ad longingly
11;2023-12-17T19:44:39;2023-12-17T19:17:19;4.14;8948;30358;13176.81;28762;IFR;pastel who where
12;2023-12-17T05:15:43;2023-12-17T21:36:13;23.43;6465;29038;2799.58;2898;IFR;below forenenst honorable
13;2023-12-18T00:49:11;2023-12-17T16:12:38;7.33;388;55737;29118.73;28937;VFR;volleyball afore
14;2023-12-17T22:07:42;2023-12-17T20:24:00;0.12;4581;11799;1843.44;31110;IFR;as
15;2023-12-17T04:51:04;2023-12-17T19:18:49;3.43;4093;12269;20245.15;9262;IFR;mmm brr since
16;2023-12-17T05:37:22;2023-12-17T13:11:31;12.93;5932;33300;4577.18;31237;IFR;sell despite handover
17;2023-12-17T08:49:24;2023-12-17T20:23:38;21.39;11053;5053;19003.19;10678;IFR;request oh er
18;2023-12-17T15:39:55;2023-12-17T18:56:57;15.65;7380;11168;20046.9;14127;VFR;shady another
19;2023-12-17T17:19:14;2023-12-17T03:45:02;0.28;4172;22963;18138.37;26368;VFR;kiss boldly hmph
20;2023-12-17T05:01:31;2023-12-17T19:46:37;28.93;5967;19568;8452.12;2123;IFR;gee
21;2023-12-18T00:25:34;2023-12-17T18:40:43;15.35;12553;1870;6895.43;15532;VFR;uh-huh consequently
22;2023-12-17T05:20:36;2023-12-17T19:13:52;20.84;2478;32284;21315.82;2133;IFR;frizzy gladly oh
23;2023-12-17T04:36:17;2023-12-17T09:31:07;7.55;6199;12417;19592.01;19385;VFR;ouch multicolored
24;2023-12-18T00:02:43;2023-12-17T07:15:30;24.24;12930;31816;23512.96;11484;VFR;up precedent phew
25;2023-12-17T22:07:31;2023-12-17T21:23:06;0.75;14654;47636;10707.03;24822;IFR;freely
26;2023-12-17T15:36:47;2023-12-17T20:11:21;6.78;13756;8570;18774.69;21074;VFR;times subsidy
27;2023-12-17T13:20:53;2023-12-17T16:31:48;29.2;4121;59345;28712.76;24360;IFR;internationalize
28;2023-12-17T16:11:34;2023-12-17T17:23:11;0.2;6198;12040;25688.6;32732;IFR;circle fold
29;2023-12-17T22:03:56;2023-12-17T21:29:32;24;14442;40316;32455.18;27088;IFR;though how tomatillo
30;2023-12-17T12:44:48;2023-12-17T04:34:43;24.35;1501;12951;8738.6;31111;VFR;affect never though
