id;total_xp;rank_tier;total_flight_hours;total_night_flight_hours;total_ifr_flight_hours;flights_completed
1;9639;STUDENT;5927.98;26369.03;6754.23;22080
2;16041;CAPTAIN;24246.19;7643.16;31451.71;2016
3;5565;FLEET_CHIEF;23115.51;1343.02;23650.52;18316
4;5479;STUDENT;16124.62;18235.18;14837.76;12329
5;23222;FLEET_CHIEF;32161.02;12667.64;15257.22;22228
6;20671;SENIOR_FIRST_OFFICER;32289.46;30217.49;326.62;7174
7;2737;FIRST_OFFICER;3747.66;7143.36;28696.66;8576
8;9198;FIRST_OFFICER;27421.42;24056.25;6525.75;20006
9;22669;SENIOR_FIRST_OFFICER;32757.3;26076.47;30870.61;31011
10;27185;STUDENT;15656.98;8814.36;29468.32;17816
11;13242;FLEET_CHIEF;24540.85;29214.41;14551.44;19138
12;17867;FLEET_CHIEF;22454.81;6948.47;15249.6;22327
13;32286;SENIOR_FIRST_OFFICER;10101.54;22641.24;31161.22;22296
14;663;SENIOR_FIRST_OFFICER;5944.54;32445.82;30656.27;17566
15;19473;FIRST_OFFICER;6657.85;23650.53;5177.89;31123
16;9983;SENIOR_FIRST_OFFICER;15401.5;15154.65;1877.98;24742
17;17801;CAPTAIN;15868.57;8271.78;23798.64;24102
18;11172;FLEET_CHIEF;9934.01;26298.85;18261.31;1175
19;18949;FLEET_CHIEF;30600.8;19546.66;30710.51;29133
20;19164;CAPTAIN;21760.27;8513.9;23560.47;27949
21;11802;STUDENT;30382.15;21016.23;18924.77;24323
22;30030;STUDENT;9625.71;25036.19;4157.44;15350
23;26366;FIRST_OFFICER;23771.23;1088.56;32443.04;21210
24;5835;FLEET_CHIEF;32056.79;8808.95;2857.67;26737
25;9072;CAPTAIN;22015.41;13914.77;29275.24;8591
26;11204;CAPTAIN;21593.9;29622.42;28183.08;2784
27;32516;FLEET_CHIEF;11521.67;13773.9;26720.04;1355
28;14093;CAPTAIN;30331.63;28644.49;20175.44;8354
29;4488;SENIOR_FIRST_OFFICER;24794.24;2896.28;23853.66;14184
30;31538;FLEET_CHIEF;15947.3;22905.24;11745.81;29170
